street_clean,city_clean,State,Zip,price,bedrooms,baths_label,bed_bath,sqft_living,price_per_sqft,lot_acres,waterfront_flag,basement_flag,view_label,condition_label,home_age,yr_renovated,years_since_update,floors,date,bathrooms,sqft_total_check,sqft_lot,waterfront,view,condition,sqft_above,sqft_basement,yr_built,street,city,statezip
7623 Overlake Dr W,Medina,WA,98039,"$2,271,150",4,3 1/4,4 bd | 3.25 ba,"4,040",$562,0,No,No,None,Good,71,1979,46,1,7/2/2014,3.25,"4,040","18,916",0,0,4,"4,040",0,1954,7623 Overlake Dr W,Medina,WA 98039
173 37Th Ave E,Seattle,WA,98112,"$2,250,000",5,4 1/4,5 bd | 4.25 ba,"4,860",$463,0,No,Yes,Fair,Excellent,120,0,120,1.5,6/12/2014,4.25,"4,860","9,453",0,1,5,"3,100","1,760",1905,173 37th Ave E,Seattle,WA 98112
7070 270Th Pl Se,Issaquah,WA,98029,"$2,238,888",5,6 1/2,5 bd | 6.5 ba,"7,270",$308,3,No,Yes,None,Average,15,0,15,2,5/9/2014,6.50,"7,270","130,017",0,0,3,"6,420",850,2010,7070 270th Pl SE,Issaquah,WA 98029
5170 Nw Sammamish Rd,Issaquah,WA,98027,"$2,200,000",5,4 3/4,5 bd | 4.75 ba,"5,990",$367,0,Yes,Yes,Excellent,Average,23,0,23,2,6/19/2014,4.75,"5,990","10,450",1,4,3,"4,050","1,940",2002,5170 NW Sammamish Rd,Issaquah,WA 98027
19009-19021 Se 266Th St,Covington,WA,98042,"$2,199,900",4,1 1/2,4 bd | 1.5 ba,"1,120","$1,964",0,No,No,None,Average,56,2014,11,1,5/5/2014,1.50,"1,120","5,427",0,0,3,"1,120",0,1969,19009-19021 SE 266th St,Covington,WA 98042
4530 51St Ave Ne,Seattle,WA,98105,"$2,180,000",6,2 3/4,6 bd | 2.75 ba,"4,710",$463,0,No,Yes,Great,Average,94,0,94,2,7/8/2014,2.75,"4,710","11,000",0,3,3,"3,690","1,020",1931,4530 51st Ave NE,Seattle,WA 98105
1500-1598 98Th Ave Ne,Bellevue,WA,98004,"$2,150,000",4,5 1/2,4 bd | 5.5 ba,"5,060",$425,0,No,No,None,Average,17,0,17,2,5/22/2014,5.50,"5,060","10,320",0,0,3,"5,060",0,2008,1500-1598 98th Ave NE,Bellevue,WA 98004
2826 10Th Ave E,Seattle,WA,98102,"$2,147,500",3,3 1/2,3 bd | 3.5 ba,"4,660",$461,0,No,Yes,Excellent,Excellent,116,1988,37,2,7/2/2014,3.50,"4,660","5,500",0,4,5,"3,040","1,620",1909,2826 10th Ave E,Seattle,WA 98102
12 Columbia Key,Bellevue,WA,98006,"$2,110,000",3,2 1/4,3 bd | 2.25 ba,"3,230",$653,0,No,No,None,Good,52,0,52,2,6/20/2014,2.25,"3,230","17,833",0,0,4,"3,230",0,1973,12 Columbia Key,Bellevue,WA 98006
14070 Military Rd S,Tukwila,WA,98168,"$2,110,000",4,1  ,4 bd | 1. ba,"2,100","$1,005",0,No,Yes,None,Average,66,1989,36,1,5/8/2014,1.00,"2,100","9,200",0,0,3,"1,050","1,050",1959,14070 Military Rd S,Tukwila,WA 98168
7822 Ne 14Th St,Medina,WA,98039,"$2,100,000",4,1 3/4,4 bd | 1.75 ba,"3,550",$592,0,No,No,None,Average,63,2002,23,2,5/15/2014,1.75,"3,550","19,865",0,0,3,"3,550",0,1962,7822 NE 14th St,Medina,WA 98039
1646 100Th Pl Se,Bellevue,WA,98004,"$2,075,000",4,3 1/2,4 bd | 3.5 ba,"4,230",$491,0,No,No,None,Average,28,0,28,2,6/23/2014,3.50,"4,230","20,377",0,0,3,"4,230",0,1997,1646 100th Pl SE,Bellevue,WA 98004
2000-2098 102Nd Ave Ne,Bellevue,WA,98004,"$2,065,000",4,3 3/4,4 bd | 3.75 ba,"4,350",$475,0,No,No,None,Average,12,1923,102,2,6/30/2014,3.75,"4,350","7,965",0,0,3,"4,350",0,2013,2000-2098 102nd Ave NE,Bellevue,WA 98004
4520 E Mercer Way,Mercer Island,WA,98040,"$2,027,000",4,3 3/4,4 bd | 3.75 ba,"4,100",$494,1,No,Yes,Great,Excellent,91,1979,46,1.5,6/17/2014,3.75,"4,100","22,798",0,3,5,"2,540","1,560",1934,4520 E Mercer Way,Mercer Island,WA 98040
18309 17Th Pl Nw,Shoreline,WA,98177,"$2,005,000",6,4 1/2,6 bd | 4.5 ba,"3,810",$526,1,No,No,Excellent,Excellent,56,0,56,1,6/4/2014,4.50,"3,810","28,176",0,4,5,"3,810",0,1969,18309 17th Pl NW,Shoreline,WA 98177
4277 E Lake Sammamish Shore Ln Se,Sammamish,WA,98075,"$2,000,000",5,4  ,5 bd | 4. ba,"4,580",$437,0,Yes,No,Excellent,Average,21,2003,22,3,5/24/2014,4.00,"4,580","4,443",1,4,3,"4,580",0,2004,4277 E Lake Sammamish Shore Ln SE,Sammamish,WA 98075
4080 E Mercer Way,Mercer Island,WA,98040,"$2,000,000",5,4 1/4,5 bd | 4.25 ba,"6,490",$308,0,No,Yes,Great,Good,34,0,34,2,5/16/2014,4.25,"6,490","10,862",0,3,4,"3,940","2,550",1991,4080 E Mercer Way,Mercer Island,WA 98040
923 14Th Ave E,Seattle,WA,98112,"$1,990,000",5,3  ,5 bd | 3. ba,"4,480",$444,0,No,Yes,None,Excellent,123,0,123,2.5,6/26/2014,3.00,"4,480","5,000",0,0,5,"3,420","1,060",1902,923 14th Ave E,Seattle,WA 98112
1210 22Nd Ave E,Seattle,WA,98112,"$1,970,000",8,3 1/2,8 bd | 3.5 ba,"4,440",$444,0,No,Yes,Great,Excellent,66,0,66,2,5/28/2014,3.50,"4,440","6,480",0,3,5,"3,140","1,300",1959,1210 22nd Ave E,Seattle,WA 98112
2523-2533 103Rd Ave Se,Bellevue,WA,98004,"$1,965,221",4,3 1/2,4 bd | 3.5 ba,"4,370",$450,0,No,Yes,Fair,Average,22,0,22,2,6/2/2014,3.50,"4,370","8,510",0,1,3,"3,610",760,2003,2523-2533 103rd Ave SE,Bellevue,WA 98004
8105 Se 44Th St,Mercer Island,WA,98040,"$1,950,000",7,3 1/2,7 bd | 3.5 ba,"4,640",$420,0,No,Yes,Fair,Average,60,2003,22,2,6/20/2014,3.50,"4,640","15,235",0,1,3,"2,860","1,780",1965,8105 SE 44th St,Mercer Island,WA 98040
2653 Cascadia Ave S,Seattle,WA,98144,"$1,925,000",5,4 1/4,5 bd | 4.25 ba,"4,830",$399,0,No,Yes,Good,Good,111,1945,80,2.5,6/30/2014,4.25,"4,830","8,050",0,2,4,"3,710","1,120",1914,2653 Cascadia Ave S,Seattle,WA 98144
3257 Evergreen Point Rd,Medina,WA,98039,"$1,920,000",4,2 1/2,4 bd | 2.5 ba,"3,070",$625,1,No,Yes,Great,Good,75,1983,42,1,6/16/2014,2.50,"3,070","34,412",0,3,4,"2,070","1,000",1950,3257 Evergreen Point Rd,Medina,WA 98039
4612 92Nd Ave Ne,Yarrow Point,WA,98004,"$1,901,000",3,2 1/2,3 bd | 2.5 ba,"2,660",$715,0,No,No,Good,Average,33,0,33,2,6/4/2014,2.50,"2,660","13,367",0,2,3,"2,660",0,1992,4612 92nd Ave NE,Yarrow Point,WA 98004
13117 Ne 33Rd St,Bellevue,WA,98005,"$1,900,000",4,3 1/4,4 bd | 3.25 ba,"4,130",$460,3,No,No,None,Average,47,0,47,2,6/9/2014,3.25,"4,130","112,521",0,0,3,"4,130",0,1978,13117 NE 33rd St,Bellevue,WA 98005
9045 Ne 40Th Pl,Yarrow Point,WA,98004,"$1,895,000",5,2 1/4,5 bd | 2.25 ba,"3,120",$607,0,No,No,None,Good,56,0,56,2,5/13/2014,2.25,"3,120","16,672",0,0,4,"3,120",0,1969,9045 NE 40th Pl,Yarrow Point,WA 98004
2526 104Th Ave Se,Bellevue,WA,98004,"$1,886,700",5,3 1/2,5 bd | 3.5 ba,"4,180",$451,0,No,No,None,Average,21,2003,22,2,5/30/2014,3.50,"4,180","17,935",0,0,3,"4,180",0,2004,2526 104th Ave SE,Bellevue,WA 98004
10924 Ne 18Th Pl,Bellevue,WA,98004,"$1,875,000",4,3 1/4,4 bd | 3.25 ba,"3,930",$477,0,No,No,None,Average,19,0,19,2,7/3/2014,3.25,"3,930","10,929",0,0,3,"3,930",0,2006,10924 NE 18th Pl,Bellevue,WA 98004
21909 Ne 141St St,Woodinville,WA,98077,"$1,820,000",4,4 1/2,4 bd | 4.5 ba,"6,640",$274,1,No,No,None,Average,32,0,32,2,6/27/2014,4.50,"6,640","53,330",0,0,3,"6,640",0,1993,21909 NE 141st St,Woodinville,WA 98077
7845 Se 62Nd St,Mercer Island,WA,98040,"$1,815,000",5,3  ,5 bd | 3. ba,"3,880",$468,0,No,No,None,Average,53,2003,22,2,6/19/2014,3.00,"3,880","13,000",0,0,3,"3,880",0,1972,7845 SE 62nd St,Mercer Island,WA 98040
1404-1418 100Th Ave Ne,Bellevue,WA,98004,"$1,800,000",5,4 1/2,5 bd | 4.5 ba,"4,400",$409,0,No,Yes,None,Average,22,0,22,2,6/5/2014,4.50,"4,400","15,580",0,0,3,"3,390","1,010",2003,1404-1418 100th Ave NE,Bellevue,WA 98004
2625 82Nd Ave Ne,Medina,WA,98039,"$1,800,000",4,3 1/2,4 bd | 3.5 ba,"4,460",$404,0,No,Yes,None,Average,63,1994,31,1,5/20/2014,3.50,"4,460","16,953",0,0,3,"2,550","1,910",1962,2625 82nd Ave NE,Medina,WA 98039
6875 Se 33Rd St,Mercer Island,WA,98040,"$1,795,000",4,3 1/4,4 bd | 3.25 ba,"4,060",$442,0,No,No,Great,Average,25,0,25,2,5/27/2014,3.25,"4,060","13,000",0,3,3,"4,060",0,2000,6875 SE 33rd St,Mercer Island,WA 98040
5355 84Th Pl Se,Mercer Island,WA,98040,"$1,795,000",5,3 1/4,5 bd | 3.25 ba,"5,270",$341,0,No,Yes,Fair,Average,48,2003,22,2,6/10/2014,3.25,"5,270","17,232",0,1,3,"4,010","1,260",1977,5355 84th Pl SE,Mercer Island,WA 98040
1242 15Th Ave E,Seattle,WA,98112,"$1,755,000",3,2  ,3 bd | 2. ba,"2,360",$744,0,No,No,None,Average,116,2014,11,2,7/3/2014,2.00,"2,360","4,800",0,0,3,"2,360",0,1909,1242 15th Ave E,Seattle,WA 98112
1987 Shenandoah Dr E,Seattle,WA,98112,"$1,738,000",4,2 1/4,4 bd | 2.25 ba,"2,920",$595,0,No,Yes,None,Good,88,0,88,2,7/5/2014,2.25,"2,920","6,513",0,0,4,"2,260",660,1937,1987 Shenandoah Dr E,Seattle,WA 98112
18401 17Th Ave Nw,Shoreline,WA,98177,"$1,735,000",3,2 1/2,3 bd | 2.5 ba,"4,310",$403,1,No,Yes,Excellent,Excellent,43,0,43,1.5,6/13/2014,2.50,"4,310","32,093",0,4,5,"2,510","1,800",1982,18401 17th Ave NW,Shoreline,WA 98177
3907 47Th Ave Ne,Seattle,WA,98105,"$1,735,000",4,2 1/4,4 bd | 2.25 ba,"3,040",$571,0,No,Yes,Great,Good,99,1993,32,2,6/16/2014,2.25,"3,040","5,000",0,3,4,"2,080",960,1926,3907 47th Ave NE,Seattle,WA 98105
4419 Ferncroft Rd,Mercer Island,WA,98040,"$1,730,000",5,3 1/2,5 bd | 3.5 ba,"5,000",$346,1,No,Yes,Great,Average,17,0,17,2,6/30/2014,3.50,"5,000","26,540",0,3,3,"3,410","1,590",2008,4419 Ferncroft Rd,Mercer Island,WA 98040
1206 86Th Ave Ne,Bellevue,WA,98004,"$1,728,000",4,3  ,4 bd | 3. ba,"3,700",$467,0,No,Yes,None,Good,49,1992,33,1,6/17/2014,3.00,"3,700","20,570",0,0,4,"1,850","1,850",1976,1206 86th Ave NE,Bellevue,WA 98004
150 Highland Dr,Seattle,WA,98109,"$1,712,500",3,3 1/4,3 bd | 3.25 ba,"2,940",$582,0,No,Yes,Great,Good,47,2000,25,3,6/16/2014,3.25,"2,940","5,432",0,3,4,"2,440",500,1978,150 Highland Dr,Seattle,WA 98109
6402-6412 105Th Ave Ne,Kirkland,WA,98033,"$1,710,000",5,4 1/2,5 bd | 4.5 ba,"4,590",$373,0,No,No,None,Average,16,0,16,2,5/27/2014,4.50,"4,590","14,685",0,0,3,"4,590",0,2009,6402-6412 105th Ave NE,Kirkland,WA 98033
2860 West Lake Sammamish Pkwy Ne,Redmond,WA,98052,"$1,700,000",3,2 3/4,3 bd | 2.75 ba,"2,810",$605,0,Yes,No,Excellent,Good,51,0,51,2,6/23/2014,2.75,"2,810","18,731",1,4,4,"2,810",0,1974,2860 West Lake Sammamish Pkwy NE,Redmond,WA 98052
9625-9701 Se 5Th St,Bellevue,WA,98004,"$1,700,000",5,3 1/2,5 bd | 3.5 ba,"5,850",$291,1,No,Yes,Good,Good,47,2000,25,2,6/25/2014,3.50,"5,850","22,885",0,2,4,"4,670","1,180",1978,9625-9701 SE 5th St,Bellevue,WA 98004
308 Prospect St,Seattle,WA,98109,"$1,695,000",2,2 1/4,2 bd | 2.25 ba,"3,170",$535,0,No,Yes,Good,Excellent,125,0,125,2,6/13/2014,2.25,"3,170","3,000",0,2,5,"1,990","1,180",1900,308 Prospect St,Seattle,WA 98109
3333 S Plum St,Seattle,WA,98144,"$1,695,000",4,2 3/4,4 bd | 2.75 ba,"3,770",$450,0,No,Yes,Good,Excellent,101,1956,69,2,7/1/2014,2.75,"3,770","10,900",0,2,5,"3,070",700,1924,3333 S Plum St,Seattle,WA 98144
3872 50Th Ave Ne,Seattle,WA,98105,"$1,690,000",3,1 3/4,3 bd | 1.75 ba,"3,400",$497,0,No,Yes,Good,Excellent,68,0,68,1,5/20/2014,1.75,"3,400","8,965",0,2,5,"1,820","1,580",1957,3872 50th Ave NE,Seattle,WA 98105
3907 48Th Ave Ne,Seattle,WA,98105,"$1,688,000",4,2 1/2,4 bd | 2.5 ba,"3,000",$563,0,No,No,None,Average,88,1994,31,2,6/12/2014,2.50,"3,000","7,500",0,0,3,"3,000",0,1937,3907 48th Ave NE,Seattle,WA 98105
6702 Se 28Th St,Mercer Island,WA,98040,"$1,681,000",5,5 1/4,5 bd | 5.25 ba,"4,830",$348,0,No,Yes,Fair,Excellent,73,1998,27,2,7/9/2014,5.25,"4,830","18,707",0,1,5,"3,930",900,1952,6702 SE 28th St,Mercer Island,WA 98040
9250 Se 36Th Pl,Mercer Island,WA,98040,"$1,680,000",5,3 1/4,5 bd | 3.25 ba,"4,860",$346,1,No,Yes,Good,Good,36,0,36,2,5/13/2014,3.25,"4,860","23,723",0,2,4,"3,820","1,040",1989,9250 SE 36th Pl,Mercer Island,WA 98040
29002 Ne 3Rd Way,Carnation,WA,98014,"$1,680,000",4,4 1/4,4 bd | 4.25 ba,"5,584",$301,2,No,No,None,Average,27,2006,19,2,5/24/2014,4.25,"5,584","68,257",0,0,3,"5,584",0,1998,29002 NE 3rd Way,Carnation,WA 98014
Burke-Gilman Trail,Seattle,WA,98125,"$1,675,000",3,2 1/2,3 bd | 2.5 ba,"3,490",$480,0,Yes,Yes,Excellent,Good,86,1991,34,2,7/8/2014,2.50,"3,490","8,343",1,4,4,"2,150","1,340",1939,Burke-Gilman Trail,Seattle,WA 98125
2441-2499 Crane Dr W,Seattle,WA,98199,"$1,655,000",4,3 1/2,4 bd | 3.5 ba,"3,080",$537,0,No,Yes,Great,Average,88,2009,16,2,5/27/2014,3.50,"3,080","4,815",0,3,3,"2,300",780,1937,2441-2499 Crane Dr W,Seattle,WA 98199
471 Wheeler St,Seattle,WA,98109,"$1,640,000",3,3 1/4,3 bd | 3.25 ba,"3,140",$522,0,No,Yes,Great,Good,112,0,112,2,7/1/2014,3.25,"3,140","5,445",0,3,4,"2,240",900,1913,471 Wheeler St,Seattle,WA 98109
8240 Fairway Dr Ne,Seattle,WA,98115,"$1,636,000",3,2 1/2,3 bd | 2.5 ba,"3,110",$526,0,No,Yes,Fair,Good,79,1989,36,2,7/7/2014,2.50,"3,110","6,765",0,1,4,"2,550",560,1946,8240 Fairway Dr NE,Seattle,WA 98115
400 Detwiller Ln,Bellevue,WA,98004,"$1,635,000",5,3 1/2,5 bd | 3.5 ba,"4,220",$387,1,No,Yes,None,Average,67,2006,19,1,6/9/2014,3.50,"4,220","26,784",0,0,3,"2,110","2,110",1958,400 Detwiller Ln,Bellevue,WA 98004
1820 38Th Ave E,Seattle,WA,98112,"$1,625,000",4,3 1/4,4 bd | 3.25 ba,"2,980",$545,0,No,Yes,None,Average,26,0,26,2,7/3/2014,3.25,"2,980","3,600",0,0,3,"2,150",830,1999,1820 38th Ave E,Seattle,WA 98112
4720 Somerset Ave Se,Bellevue,WA,98006,"$1,619,999",4,3  ,4 bd | 3. ba,"3,900",$415,0,No,Yes,Excellent,Excellent,53,0,53,1,6/27/2014,3.00,"3,900","9,750",0,4,5,"2,520","1,380",1972,4720 Somerset Ave SE,Bellevue,WA 98006
2758 68Th Ave Se,Mercer Island,WA,98040,"$1,610,000",4,3 1/2,4 bd | 3.5 ba,"4,390",$367,0,No,Yes,Great,Average,35,2009,16,2,5/23/2014,3.50,"4,390","11,600",0,3,3,"3,060","1,330",1990,2758 68th Ave SE,Mercer Island,WA 98040
17780 13Th Ave Nw,Seattle,WA,98177,"$1,600,000",3,3 1/4,3 bd | 3.25 ba,"3,790",$422,0,No,No,Excellent,Average,40,0,40,2,5/27/2014,3.25,"3,790","19,000",0,4,3,"3,790",0,1985,17780 13th Ave NW,Seattle,WA 98177
29236 Se 5Th St,Fall City,WA,98024,"$1,600,000",6,5  ,6 bd | 5. ba,"6,050",$264,5,No,No,Great,Average,24,0,24,2,6/18/2014,5.00,"6,050","230,652",0,3,3,"6,050",0,2001,29236 SE 5th St,Fall City,WA 98024
9410 Lake Washington Blvd Ne,Bellevue,WA,98004,"$1,600,000",3,2 1/2,3 bd | 2.5 ba,"3,160",$506,0,No,Yes,Good,Good,59,0,59,1,5/22/2014,2.50,"3,160","12,824",0,2,4,"1,820","1,340",1966,9410 Lake Washington Blvd NE,Bellevue,WA 98004
3221 E Morley Way,Seattle,WA,98112,"$1,600,000",3,4 1/4,3 bd | 4.25 ba,"2,820",$567,0,No,Yes,None,Good,95,0,95,2,6/28/2014,4.25,"2,820","7,200",0,0,4,"2,460",360,1930,3221 E Morley Way,Seattle,WA 98112
17200 Se 29Th Ct,Bellevue,WA,98008,"$1,595,000",5,3  ,5 bd | 3. ba,"3,640",$438,0,No,Yes,Great,Average,43,0,43,2,6/1/2014,3.00,"3,640","8,239",0,3,3,"2,540","1,100",1982,17200 SE 29th Ct,Bellevue,WA 98008
1249 Nw Elford Dr,Seattle,WA,98177,"$1,580,000",4,2 1/2,4 bd | 2.5 ba,"4,570",$346,2,No,No,Excellent,Excellent,77,1985,40,2,6/23/2014,2.50,"4,570","74,487",0,4,5,"4,570",0,1948,1249 NW Elford Dr,Seattle,WA 98177
440 8Th Ave,Kirkland,WA,98033,"$1,580,000",3,3 1/4,3 bd | 3.25 ba,"3,690",$428,0,No,No,None,Average,18,0,18,2,5/21/2014,3.25,"3,690","7,200",0,0,3,"3,690",0,2007,440 8th Ave,Kirkland,WA 98033
1216 86Th Ave Ne,Bellevue,WA,98004,"$1,575,000",5,2 3/4,5 bd | 2.75 ba,"3,650",$432,0,No,Yes,None,Good,50,0,50,1,5/12/2014,2.75,"3,650","20,150",0,0,4,"2,360","1,290",1975,1216 86th Ave NE,Bellevue,WA 98004
1527 39Th Ave E,Seattle,WA,98112,"$1,570,000",4,3 3/4,4 bd | 3.75 ba,"3,070",$511,0,No,Yes,None,Excellent,98,0,98,2,5/27/2014,3.75,"3,070","5,850",0,0,5,"2,400",670,1927,1527 39th Ave E,Seattle,WA 98112
9563 Ne 1St St,Bellevue,WA,98004,"$1,565,000",4,2 3/4,4 bd | 2.75 ba,"2,970",$527,0,No,Yes,Fair,Good,107,1986,39,1.5,7/1/2014,2.75,"2,970","12,750",0,1,4,"2,130",840,1918,9563 NE 1st St,Bellevue,WA 98004
