Address,City,State,Zip,Price,Bedrooms,Bathrooms,Living Area (SqFt),Price per SqFt,Lot Size (Acres),Waterfront,Basement,View,Condition,Home Age,Year Renovated,Years Since Update,Floors,,
10924 Ne 18Th Pl,Bellevue,WA,98004,"$1,875,000",4.00,3,"3,930",$477 ,0,No,No,None,Average,19,0,19,2,,
21909 Ne 141St St,Woodinville,WA,98077,"$1,820,000",4.00,5,"6,640",$274 ,1,No,No,None,Average,32,0,32,2,,
7845 Se 62Nd St,Mercer Island,WA,98040,"$1,815,000",5.00,3,"3,880",$468 ,0,No,No,None,Average,53,2003,22,2,,
1404-1418 100Th Ave Ne,Bellevue,WA,98004,"$1,800,000",5.00,5,"4,400",$409 ,0,No,Yes,None,Average,22,0,22,2,,
2625 82Nd Ave Ne,Medina,WA,98039,"$1,800,000",4.00,4,"4,460",$404 ,0,No,Yes,None,Average,63,1994,31,1,,
6875 Se 33Rd St,Mercer Island,WA,98040,"$1,795,000",4.00,3,"4,060",$442 ,0,No,No,Great,Average,25,0,25,2,,
5355 84Th Pl Se,Mercer Island,WA,98040,"$1,795,000",5.00,3,"5,270",$341 ,0,No,Yes,Fair,Average,48,2003,22,2,,
1242 15Th Ave E,Seattle,WA,98112,"$1,755,000",3.00,2,"2,360",$744 ,0,No,No,None,Average,116,2014,11,2,,
1987 Shenandoah Dr E,Seattle,WA,98112,"$1,738,000",4.00,2,"2,920",$595 ,0,No,Yes,None,Good,88,0,88,2,,
18401 17Th Ave Nw,Shoreline,WA,98177,"$1,735,000",3.00,3,"4,310",$403 ,1,No,Yes,Excellent,Excellent,43,0,43,1.5,,
3907 47Th Ave Ne,Seattle,WA,98105,"$1,735,000",4.00,2,"3,040",$571 ,0,No,Yes,Great,Good,99,1993,32,2,,
4419 Ferncroft Rd,Mercer Island,WA,98040,"$1,730,000",5.00,4,"5,000",$346 ,1,No,Yes,Great,Average,17,0,17,2,,
1206 86Th Ave Ne,Bellevue,WA,98004,"$1,728,000",4.00,3,"3,700",$467 ,0,No,Yes,None,Good,49,1992,33,1,,
150 Highland Dr,Seattle,WA,98109,"$1,712,500",3.00,3,"2,940",$582 ,0,No,Yes,Great,Good,47,2000,25,3,,
6402-6412 105Th Ave Ne,Kirkland,WA,98033,"$1,710,000",5.00,5,"4,590",$373 ,0,No,No,None,Average,16,0,16,2,,
2860 West Lake Sammamish Pkwy Ne,Redmond,WA,98052,"$1,700,000",3.00,3,"2,810",$605 ,0,Yes,No,Excellent,Good,51,0,51,2,,
9625-9701 Se 5Th St,Bellevue,WA,98004,"$1,700,000",5.00,4,"5,850",$291 ,1,No,Yes,Good,Good,47,2000,25,2,,
308 Prospect St,Seattle,WA,98109,"$1,695,000",2.00,2,"3,170",$535 ,0,No,Yes,Good,Excellent,125,0,125,2,,
3333 S Plum St,Seattle,WA,98144,"$1,695,000",4.00,3,"3,770",$450 ,0,No,Yes,Good,Excellent,101,1956,69,2,,
3872 50Th Ave Ne,Seattle,WA,98105,"$1,690,000",3.00,2,"3,400",$497 ,0,No,Yes,Good,Excellent,68,0,68,1,,
3907 48Th Ave Ne,Seattle,WA,98105,"$1,688,000",4.00,3,"3,000",$563 ,0,No,No,None,Average,88,1994,31,2,,
6702 Se 28Th St,Mercer Island,WA,98040,"$1,681,000",5.00,5,"4,830",$348 ,0,No,Yes,Fair,Excellent,73,1998,27,2,,
9250 Se 36Th Pl,Mercer Island,WA,98040,"$1,680,000",5.00,3,"4,860",$346 ,1,No,Yes,Good,Good,36,0,36,2,,
29002 Ne 3Rd Way,Carnation,WA,98014,"$1,680,000",4.00,4,"5,584",$301 ,2,No,No,None,Average,27,2006,19,2,,
Burke-Gilman Trail,Seattle,WA,98125,"$1,675,000",3.00,3,"3,490",$480 ,0,Yes,Yes,Excellent,Good,86,1991,34,2,,
2441-2499 Crane Dr W,Seattle,WA,98199,"$1,655,000",4.00,4,"3,080",$537 ,0,No,Yes,Great,Average,88,2009,16,2,,
471 Wheeler St,Seattle,WA,98109,"$1,640,000",3.00,3,"3,140",$522 ,0,No,Yes,Great,Good,112,0,112,2,,
8240 Fairway Dr Ne,Seattle,WA,98115,"$1,636,000",3.00,3,"3,110",$526 ,0,No,Yes,Fair,Good,79,1989,36,2,,
400 Detwiller Ln,Bellevue,WA,98004,"$1,635,000",5.00,4,"4,220",$387 ,1,No,Yes,None,Average,67,2006,19,1,,
1820 38Th Ave E,Seattle,WA,98112,"$1,625,000",4.00,3,"2,980",$545 ,0,No,Yes,None,Average,26,0,26,2,,
4720 Somerset Ave Se,Bellevue,WA,98006,"$1,619,999",4.00,3,"3,900",$415 ,0,No,Yes,Excellent,Excellent,53,0,53,1,,
2758 68Th Ave Se,Mercer Island,WA,98040,"$1,610,000",4.00,4,"4,390",$367 ,0,No,Yes,Great,Average,35,2009,16,2,,
17780 13Th Ave Nw,Seattle,WA,98177,"$1,600,000",3.00,3,"3,790",$422 ,0,No,No,Excellent,Average,40,0,40,2,,
29236 Se 5Th St,Fall City,WA,98024,"$1,600,000",6.00,5,"6,050",$264 ,5,No,No,Great,Average,24,0,24,2,,
9410 Lake Washington Blvd Ne,Bellevue,WA,98004,"$1,600,000",3.00,3,"3,160",$506 ,0,No,Yes,Good,Good,59,0,59,1,,
3221 E Morley Way,Seattle,WA,98112,"$1,600,000",3.00,4,"2,820",$567 ,0,No,Yes,None,Good,95,0,95,2,,
17200 Se 29Th Ct,Bellevue,WA,98008,"$1,595,000",5.00,3,"3,640",$438 ,0,No,Yes,Great,Average,43,0,43,2,,
1249 Nw Elford Dr,Seattle,WA,98177,"$1,580,000",4.00,3,"4,570",$346 ,2,No,No,Excellent,Excellent,77,1985,40,2,,
440 8Th Ave,Kirkland,WA,98033,"$1,580,000",3.00,3,"3,690",$428 ,0,No,No,None,Average,18,0,18,2,,
1216 86Th Ave Ne,Bellevue,WA,98004,"$1,575,000",5.00,3,"3,650",$432 ,0,No,Yes,None,Good,50,0,50,1,,
1527 39Th Ave E,Seattle,WA,98112,"$1,570,000",4.00,4,"3,070",$511 ,0,No,Yes,None,Excellent,98,0,98,2,,
9563 Ne 1St St,Bellevue,WA,98004,"$1,565,000",4.00,3,"2,970",$527 ,0,No,Yes,Fair,Good,107,1986,39,1.5,,
6812 Phinney Ave N,Seattle,WA,98103,"$1,555,000",3.00,4,"4,360",$357 ,0,No,Yes,Great,Average,17,0,17,2,,
8126-8196 Forest Ave Se,Mercer Island,WA,98040,"$1,550,000",5.00,3,"3,370",$460 ,0,No,Yes,Good,Excellent,43,0,43,1,,
29433 Se 15Th Pl,Fall City,WA,98024,"$1,550,000",5.00,4,"6,070",$255 ,4,No,No,None,Average,26,0,26,2,,
126Th Ln Ne,Kirkland,WA,98033,"$1,550,000",3.00,3,"4,460",$348 ,1,No,No,None,Average,33,0,33,2,,
1806 10Th Pl W,Kirkland,WA,98033,"$1,538,000",3.00,2,"2,880",$534 ,0,No,Yes,Good,Average,67,2002,23,1,,
3283 Conkling Pl W,Seattle,WA,98119,"$1,525,000",4.00,3,"3,620",$421 ,0,No,Yes,Great,Good,98,0,98,2,,
8442 Se 36Th St,Mercer Island,WA,98040,"$1,510,000",5.00,3,"4,390",$344 ,0,No,No,None,Average,18,0,18,2,,
1020 15Th Ave E,Seattle,WA,98112,"$1,506,000",4.00,3,"3,660",$411 ,0,No,Yes,None,Average,116,1995,30,2.5,,
1905 33Rd Ave S,Seattle,WA,98144,"$1,505,000",4.00,4,"3,480",$432 ,0,No,Yes,None,Average,99,2010,15,2,,
619 9Th Ave,Kirkland,WA,98033,"$1,485,000",4.00,4,"4,030",$368 ,0,No,No,None,Average,19,0,19,2,,
1206 9Th Ave W,Seattle,WA,98119,"$1,465,000",6.00,5,"4,230",$346 ,0,No,Yes,Great,Good,109,0,109,2,,
1116 33Rd Ave S,Seattle,WA,98144,"$1,462,497",5.00,3,"3,840",$381 ,0,No,Yes,Great,Average,17,0,17,3,,
410 Wheeler St,Seattle,WA,98109,"$1,450,000",4.00,3,"3,770",$385 ,0,No,Yes,None,Excellent,100,0,100,2,,
2720 Boyer Ave E,Seattle,WA,98102,"$1,440,000",3.00,4,"3,870",$372 ,0,No,Yes,None,Average,23,0,23,2,,
2611 1St Ave N,Seattle,WA,98109,"$1,425,000",4.00,4,"4,960",$287 ,0,No,Yes,None,Average,116,2003,22,2.5,,
6324 160Th Pl Se,Bellevue,WA,98006,"$1,415,000",4.00,5,"4,670",$303 ,1,No,No,None,Average,36,0,36,2,,
4631 Somerset Ave Se,Bellevue,WA,98006,"$1,411,600",2.00,3,"3,180",$444 ,0,No,Yes,Excellent,Excellent,40,0,40,2,,
2520 Medina Cir,Medina,WA,98039,"$1,410,000",4.00,2,"3,250",$434 ,0,No,No,None,Average,46,2014,11,2,,
10635 Se 2Nd St,Bellevue,WA,98004,"$1,405,000",4.00,4,"3,410",$412 ,0,No,No,None,Average,17,0,17,2,,
5700-5798 Sw Hinds St,Seattle,WA,98116,"$1,400,000",4.00,3,"4,700",$298 ,0,No,Yes,Excellent,Average,20,0,20,1,,
2340 Magnolia Blvd W,Seattle,WA,98199,"$1,400,000",3.00,2,"2,020",$693 ,0,No,Yes,Great,Average,88,1999,26,1.5,,
3115 S Norman St,Seattle,WA,98144,"$1,400,000",4.00,3,"2,980",$470 ,0,No,Yes,Great,Average,125,2014,11,2,,
316 Lake Washington Blvd S,Seattle,WA,98144,"$1,400,000",3.00,3,"2,550",$549 ,0,No,No,Good,Average,44,2013,12,2,,
2278 72Nd Ave Se,Mercer Island,WA,98040,"$1,400,000",5.00,4,"3,530",$397 ,0,No,No,None,Average,24,0,24,2,,
6515 112Th Ave Ne,Kirkland,WA,98033,"$1,399,950",4.00,3,"3,870",$362 ,0,No,No,None,Average,20,0,20,2,,
3418 96Th Ave Ne,Clyde Hill,WA,98004,"$1,388,000",4.00,3,"4,040",$344 ,0,No,Yes,None,Average,53,2001,24,1,,
2855 36Th Ave W,Seattle,WA,98199,"$1,387,800",3.00,3,"2,480",$560 ,0,No,Yes,Great,Average,75,2005,20,2,,
4600-4748 136Th Ave Se,Bellevue,WA,98006,"$1,385,000",6.00,3,"5,700",$243 ,0,No,Yes,Excellent,Good,48,0,48,1,,
17892 Se 58Th Pl,Bellevue,WA,98006,"$1,384,000",4.00,3,"4,290",$323 ,0,No,Yes,Great,Average,28,0,28,1,,
4646 88Th Ave Se,Mercer Island,WA,98040,"$1,381,000",4.00,4,"3,160",$437 ,0,No,No,None,Average,28,0,28,2.5,,
6827 36Th Ave Nw,Seattle,WA,98117,"$1,370,000",2.00,2,"2,460",$557 ,0,No,Yes,Excellent,Good,89,0,89,1.5,,
5564 169Th Pl Se,Bellevue,WA,98006,"$1,365,000",5.00,4,"4,210",$324 ,0,No,No,Great,Average,30,0,30,2,,
3832 43Rd Ave Ne,Seattle,WA,98105,"$1,365,000",3.00,3,"2,090",$653 ,0,No,No,None,Good,97,0,97,1.5,,
22701 Ne 57Th Ct,Redmond,WA,98053,"$1,360,000",4.00,3,"5,430",$250 ,3,No,No,None,Good,38,0,38,2,,
3017 42Nd Ave W,Seattle,WA,98199,"$1,356,925",4.00,4,"4,270",$318 ,0,No,Yes,Great,Excellent,88,0,88,2,,
15317 Se 58Th St,Bellevue,WA,98006,"$1,355,000",4.00,4,"3,550",$382 ,0,No,Yes,Good,Average,26,0,26,1,,
1602 5Th Ave N,Seattle,WA,98109,"$1,355,000",3.00,2,"2,680",$506 ,0,No,Yes,Good,Excellent,112,0,112,2,,
9213 Se 68Th St,Mercer Island,WA,98040,"$1,350,000",4.00,3,"3,300",$409 ,0,No,No,None,Excellent,40,0,40,2,,
9640 Ne 32Nd St,Clyde Hill,WA,98004,"$1,346,400",5.00,2,"3,380",$398 ,0,No,Yes,None,Good,62,0,62,1,,
1120 33Rd Ave S,Seattle,WA,98144,"$1,340,000",4.00,4,"3,190",$420 ,0,No,Yes,Great,Average,22,0,22,2,,
9426 Se 52Nd St,Mercer Island,WA,98040,"$1,339,000",4.00,3,"4,250",$315 ,0,No,Yes,Good,Good,53,0,53,2,,
1415 108Th Ave Se,Bellevue,WA,98004,"$1,337,044",4.00,4,"4,280",$312 ,0,No,No,None,Average,20,0,20,2,,
1024 15Th Ave E,Seattle,WA,98112,"$1,335,000",5.00,2,"4,200",$318 ,0,No,Yes,None,Good,119,1990,35,2.5,,
1228 9Th Ave W,Seattle,WA,98119,"$1,330,000",3.00,2,"1,940",$686 ,0,No,No,Good,Average,125,2005,20,1.5,,
3524 Nw 67Th St,Seattle,WA,98117,"$1,325,000",4.00,3,"3,370",$393 ,0,No,Yes,Great,Average,37,2000,25,1,,
2154-2398 94Th Ave Ne,Clyde Hill,WA,98004,"$1,325,000",5.00,2,"3,200",$414 ,0,No,Yes,None,Average,60,1993,32,1,,
Se 21St Ct,Sammamish,WA,98075,"$1,325,000",4.00,4,"4,420",$300 ,0,No,No,None,Average,12,1923,102,2,,
400 W Highland Dr,Seattle,WA,98119,"$1,325,000",4.00,3,"2,440",$543 ,0,No,No,None,Good,123,0,123,2.5,,
6133 160Th Ave Se,Bellevue,WA,98006,"$1,320,000",4.00,4,"4,410",$299 ,1,No,No,None,Average,36,0,36,2,,
2346 N 59Th St,Seattle,WA,98103,"$1,315,000",4.00,4,"3,460",$380 ,0,No,Yes,None,Average,21,2003,22,2,,
18051 Normandy Terrace Sw,Normandy Park,WA,98166,"$1,309,500",4.00,3,"2,680",$489 ,0,Yes,Yes,Excellent,Average,69,2001,24,1,,
7732 Seward Park Ave S,Seattle,WA,98118,"$1,309,500",4.00,5,"4,750",$276 ,0,No,Yes,Good,Average,20,0,20,2,,
2306 Halleck Ave Sw,Seattle,WA,98116,"$1,300,000",6.00,5,"3,902",$333 ,0,No,Yes,Excellent,Good,48,0,48,3,,
1645 30Th Ave Ne,Issaquah,WA,98029,"$1,300,000",4.00,4,"4,270",$304 ,0,No,Yes,Great,Average,21,2003,22,2,,
731 Mcgilvra Blvd E,Seattle,WA,98112,"$1,300,000",4.00,3,"2,330",$558 ,0,No,No,Great,Average,107,0,107,2,,
2617 W Barrett St,Seattle,WA,98199,"$1,300,000",5.00,4,"3,366",$386 ,0,No,Yes,Good,Average,88,1999,26,2.5,,
1509 85Th Ave Ne,Clyde Hill,WA,98004,"$1,300,000",4.00,2,"2,610",$498 ,0,No,No,None,Good,59,0,59,1,,
5830 246Th Pl Ne,Redmond,WA,98053,"$1,300,000",4.00,4,"4,380",$297 ,2,No,No,None,Average,24,0,24,1,,
186 34Th Ave E,Seattle,WA,98112,"$1,300,000",4.00,2,"2,360",$551 ,0,No,No,None,Average,12,1923,102,2,,
4510 89Th Ave Se,Mercer Island,WA,98040,"$1,298,000",4.00,4,"2,790",$465 ,0,No,No,None,Excellent,40,0,40,1.5,,
5529 Wallingford Ave N,Seattle,WA,98103,"$1,297,000",6.00,3,"2,630",$493 ,0,No,Yes,None,Excellent,125,0,125,2,,
2425 3Rd Ave W,Seattle,WA,98119,"$1,288,333",6.00,5,"3,830",$336 ,0,No,Yes,None,Average,106,2004,21,3,,
5726 61St Ave Ne,Seattle,WA,98105,"$1,285,000",4.00,3,"3,240",$397 ,0,No,Yes,None,Average,79,0,79,1,,
1730 Walnut Ave Sw,Seattle,WA,98116,"$1,280,000",4.00,3,"3,160",$405 ,0,No,Yes,Excellent,Average,108,2005,20,1.5,,
17069 Se 65Th Pl,Bellevue,WA,98006,"$1,280,000",4.00,4,"4,660",$275 ,0,No,No,Good,Average,22,0,22,2,,
1622 38Th Ave E,Seattle,WA,98112,"$1,280,000",4.00,4,"3,010",$425 ,0,No,Yes,None,Average,26,0,26,2,,
3014 Nw Esplanade,Seattle,WA,98117,"$1,275,000",4.00,2,"2,850",$447 ,0,No,Yes,Excellent,Good,55,0,55,1,,
17002 Se 14Th Ln,Bellevue,WA,98008,"$1,275,000",3.00,3,"3,870",$329 ,1,No,No,Great,Average,28,0,28,2,,
4468 158Th Ave Se,Bellevue,WA,98006,"$1,270,000",4.00,3,"5,520",$230 ,0,No,Yes,Great,Average,17,0,17,2,,
8726 Ne 11Th St,Bellevue,WA,98004,"$1,270,000",5.00,3,"3,200",$397 ,0,No,Yes,None,Average,73,2008,17,1,,
10442 Se 13Th St,Bellevue,WA,98004,"$1,264,000",4.00,4,"3,490",$362 ,0,No,No,None,Average,13,1912,113,2,,
8551 Se 80Th St,Mercer Island,WA,98040,"$1,256,500",4.00,3,"3,150",$399 ,0,No,No,None,Good,59,0,59,2,,
5038 48Th Ave Ne,Seattle,WA,98105,"$1,255,000",4.00,3,"3,200",$392 ,0,No,No,None,Average,19,0,19,2,,
5118 Sw Waite St,Seattle,WA,98116,"$1,250,000",3.00,3,"3,760",$332 ,0,No,Yes,Great,Good,115,0,115,2.5,,
2440 Magnolia Blvd W,Seattle,WA,98199,"$1,250,000",4.00,3,"2,920",$428 ,0,No,Yes,Great,Average,68,2000,25,1,,
13 Cascade Key,Bellevue,WA,98006,"$1,250,000",4.00,3,"3,220",$388 ,0,No,Yes,None,Excellent,52,0,52,1,,
7325 86Th Ave Se,Mercer Island,WA,98040,"$1,250,000",5.00,3,"3,160",$396 ,0,No,No,None,Excellent,53,0,53,2,,
6151 168Th Pl Se,Bellevue,WA,98006,"$1,240,000",5.00,4,"5,430",$228 ,0,No,Yes,Good,Average,18,0,18,2,,
16659 Se 69Th Way,Bellevue,WA,98006,"$1,240,000",7.00,6,"6,630",$187 ,0,No,Yes,None,Average,21,2003,22,2,,
1037 106Th Ave Se,Bellevue,WA,98004,"$1,240,000",4.00,4,"3,820",$325 ,0,No,Yes,None,Average,35,2009,16,2,,
16416 Ne 40Th St,Redmond,WA,98052,"$1,240,000",5.00,4,"4,410",$281 ,0,No,No,None,Average,19,0,19,2,,
4007 48Th Ave Ne,Seattle,WA,98105,"$1,240,000",5.00,3,"2,830",$438 ,0,No,Yes,None,Average,102,1998,27,2,,
6851 51St Ave Ne,Seattle,WA,98115,"$1,234,582",5.00,3,"3,240",$381 ,0,No,Yes,Excellent,Good,86,1989,36,1.5,,
9329 Se Shoreland Dr,Bellevue,WA,98004,"$1,230,000",3.00,2,"2,200",$559 ,0,No,No,Fair,Average,77,2003,22,1.5,,
7024 Se 20Th St,Mercer Island,WA,98040,"$1,230,000",4.00,3,"3,040",$405 ,0,No,No,None,Average,24,0,24,2,,
14203 Ne 40Th Pl,Bellevue,WA,98007,"$1,229,000",4.00,4,"3,770",$326 ,1,No,Yes,None,Average,36,0,36,2,,
20709 Se 4Th St,Sammamish,WA,98074,"$1,228,000",4.00,3,"5,730",$214 ,1,No,Yes,Excellent,Average,34,0,34,2,,
8434 W Mercer Way,Mercer Island,WA,98040,"$1,225,000",4.00,2,"3,070",$399 ,0,No,Yes,Great,Average,49,0,49,1,,
2557 Medina Cir,Medina,WA,98039,"$1,225,000",4.00,3,"2,740",$447 ,0,No,No,None,Average,41,0,41,2,,
25005 Ne Patterson Way,Redmond,WA,98053,"$1,225,000",4.00,5,"5,420",$226 ,2,No,Yes,None,Average,24,0,24,1,,
4531 205Th Pl Ne,Sammamish,WA,98074,"$1,222,500",4.00,4,"4,910",$249 ,0,No,Yes,None,Average,18,0,18,1.5,,
2433 1St Ave N,Seattle,WA,98109,"$1,220,000",4.00,3,"3,240",$377 ,0,No,Yes,None,Average,17,0,17,2,,
2551 5Th Ave N,Seattle,WA,98109,"$1,220,000",4.00,4,"3,520",$347 ,0,No,Yes,None,Excellent,112,0,112,1.5,,
